prompt_id,prompt_class,instruction,n_observations,mean_full_7d_distance,median_full_7d_distance,mean_arm_only_6d_distance,mean_translation_distance,mean_orientation_control_distance,mean_gripper_absolute_difference,gripper_regime_flip_rate,class_prompt_mean_rank
P01,Paraphrase,place both the cream cheese box and the butter in the basket,20,0.13103778288005982,0.030813535119079527,0.03622909260420103,0.03542241288204697,0.006735143128746091,0.10276425480842592,0.05,9
P02,Paraphrase,put the butter and the cream cheese box together inside the basket,20,0.32760479742017445,0.13471176709531213,0.1399763532516149,0.13828127906742957,0.019046621192737225,0.20810810923576356,0.1,3
P03,Paraphrase,move the cream cheese box and the butter into the basket,20,0.6056339620872977,0.26714929025194867,0.25770041208075045,0.25665124577744386,0.02095776106160459,0.40932807326316833,0.2,1
P04,Paraphrase,"transfer both items, the cream cheese box and the butter, to the basket",20,0.23987334528071788,0.1427257178084959,0.14466025295545176,0.14331487148560065,0.016858228398909735,0.1144578754901886,0.05,7
P05,Paraphrase,set the cream cheese box as well as the butter inside the basket,20,0.20359484218458784,0.07693648701783849,0.11059932312020604,0.10973618133375777,0.010697599851540233,0.10549928545951844,0.05,8
P06,Paraphrase,pack the basket with both the cream cheese box and the butter,20,0.31207173684727396,0.08873216876666942,0.12276445479651417,0.1215049652836869,0.014392090194230914,0.20646940469741817,0.1,5
P07,Paraphrase,take the cream cheese box and the butter and place them in the basket,20,0.27792182942178334,0.15326157787686984,0.18284536167899054,0.18062368959962766,0.019183129897119885,0.10690034031867983,0.05,6
P08,Paraphrase,ensure that both the butter and the cream cheese box are inside the basket,20,0.31809559461467396,0.08866039966881809,0.13815934483542652,0.13536232707092163,0.01950923167387137,0.20605309605598449,0.1,4
P09,Paraphrase,the cream cheese box and the butter should both be put into the basket,20,0.341920712189567,0.14028134523858377,0.17059463548446677,0.16919844706062062,0.018350716349113137,0.2041383802890778,0.1,2
P10,Paraphrase,"into the basket, place both the cream cheese box and the butter",20,0.12619337958378038,0.095295569405097,0.12594382014841718,0.12421748638485883,0.01584084837018629,0.0057340174913406705,0.0,10
C01,Contradictory,put the cream cheese box in the basket but leave the butter outside the basket,20,0.5551332684177364,0.14475064703069243,0.23122793987116846,0.22944033868370878,0.02391076023582355,0.4050775706768036,0.2,1
C02,Contradictory,put the butter in the basket but leave the cream cheese box on the table,20,0.37117326510679555,0.1635837280379437,0.20008395700045076,0.19866928791110983,0.020739806173186645,0.20565521121025085,0.1,6
C03,Contradictory,place only the cream cheese box in the basket and move the butter beside the basket,20,0.36450908516852365,0.15421796194207396,0.19059402624871075,0.18867668328304515,0.0224434246278505,0.20742620527744288,0.1,8
C04,Contradictory,put only the butter in the basket and keep the cream cheese box where it is,20,0.39567159391935464,0.17644564130246604,0.21824248741999042,0.21612585080896066,0.02470602085544333,0.20675857067108155,0.1,5
C05,Contradictory,place the cream cheese box on the table and put only the butter in the basket,20,0.2668802564878557,0.13513943969985848,0.17232245803250557,0.1701796099175859,0.018952340894930492,0.10721451342105866,0.05,10
C06,Contradictory,place both the cream cheese box and the butter next to the basket instead of inside it,20,0.3467942909467558,0.10707888471061111,0.17989085458353982,0.17739799558439415,0.02167389577964537,0.2072445660829544,0.1,9
C07,Contradictory,put the cream cheese box in the basket and move the butter to the far side of the table,20,0.403263447126781,0.19235925912303126,0.2645908270990765,0.2606446580130478,0.033245314761191684,0.20854869484901434,0.1,4
C08,Contradictory,stack the butter on top of the cream cheese box outside the basket,20,0.4434041254552031,0.19988393920355324,0.27461790705480355,0.27318869933417,0.024573919176061953,0.20840653777122498,0.1,3
C09,Contradictory,put the cream cheese box beside the basket and leave the butter on the table,20,0.3651858500527312,0.1310278589790747,0.19442891775608923,0.1927847865679817,0.022269041704754817,0.20497823655605316,0.1,7
C10,Contradictory,"move the cream cheese box into the basket, then take the butter out of the basket",20,0.46942676734916927,0.18037436336382068,0.24473838118011412,0.24200419949740345,0.026794680841684005,0.3084340482950211,0.15,2
U01,Unrelated,open the top drawer of the cabinet,20,0.9507104500296236,0.47583313774809943,0.4086628920396452,0.40446601530194154,0.04637291806270592,0.7091364741325379,0.35,1
U02,Unrelated,close the microwave door,20,0.7705629597314994,0.382385577316273,0.35770558964737964,0.35519884459380563,0.032442172514931006,0.5124700516462326,0.25,2
U03,Unrelated,pick up the red mug and place it on the saucer,20,0.559677253717192,0.26688084509970467,0.32210697079655726,0.3206635767488639,0.023908706449419413,0.3129909098148346,0.15,6
U04,Unrelated,move the black bowl onto the serving plate,20,0.7189840123076114,0.36699842036545216,0.39200757638780837,0.38913449429194374,0.03622972198627155,0.4112609803676605,0.2,4
U05,Unrelated,turn the stove knob clockwise,20,0.7585033561947061,0.4905105583428424,0.3960298741604097,0.39268503812345373,0.03572097295583176,0.4185866802930832,0.2,3
U06,Unrelated,place the cereal box inside the kitchen cabinet,20,0.40756883519214354,0.19847152745432556,0.2642660693197961,0.2625489527865568,0.02475501920278911,0.20692657530307765,0.1,9
U07,Unrelated,lift the saucepan and set it on the front burner,20,0.6321624521431777,0.3429128148424894,0.3732536980554363,0.3706506325882701,0.03644154789866691,0.30991674661636354,0.15,5
U08,Unrelated,slide the cutting board toward the sink,20,0.5015868515025665,0.2681894183790497,0.35782804254764633,0.3560913755244093,0.030882345076493754,0.20913481712341314,0.1,8
U09,Unrelated,put the blue cup on the upper shelf,20,0.38553775166029647,0.1791577768118889,0.33023816536786205,0.3276794134615796,0.030598512193871757,0.11155753433704385,0.05,10
U10,Unrelated,take the spoon from the counter and place it in the utensil holder,20,0.5376325024478177,0.23581816254060423,0.2609625851307307,0.2583333177747809,0.030614094831976208,0.3159400850534439,0.15,7
